Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Standardizing fairness-evaluation procedures: interdisciplinary insights on machine learning algorithms in creditworthiness assessments for small personal loans,AI and Ethics,,,,10.1007/s43681-023-00291-8,Sergio GenovesiJulia Maria MönigAnna SchmitzMaximilian PoretschkinMaram AkilaManoj KahdanRomina KleinerLena KriegerAlexander Zimmermann,2023,https://link.springer.com/article/10.1007/s43681-023-00291-8,Article
A comprehensive survey and classification of evaluation criteria for trustworthy artificial intelligence,AI and Ethics,,,,10.1007/s43681-024-00590-8,Louise McCormackMalika Bendechache,2024,https://link.springer.com/article/10.1007/s43681-024-00590-8,Article
"A Comprehensive Review of Bias in AI, ML, and DL Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10483-6,Ankur KumarSanjay DhankaAbhinav SharmaAnchal SharmaMonika NainPrashant KumarAtma Ram GuptaJyoti BansalNitin Kumar SaxenaRuby Pant,2025,https://link.springer.com/article/10.1007/s11831-025-10483-6,Article
Towards fairer AI: Integrating psychological insights into gender bias testing,AI & SOCIETY,,,,10.1007/s00146-025-02639-6,Ruoxuan Li,2025,https://link.springer.com/article/10.1007/s00146-025-02639-6,Article
Action-guidance and AI ethics: the case of fair machine learning,AI and Ethics,,,,10.1007/s43681-024-00437-2,Otto Sahlgren,2024,https://link.springer.com/article/10.1007/s43681-024-00437-2,Article
Bio-inspired neutrosophic-enzyme intelligence framework for pediatric dental disease detection using multi-modal clinical data,Scientific Reports,,,,10.1038/s41598-025-21923-5,Hanaa Salem MarieMostafa ElbazRiham S. SolimanMona Elshirbini HafezAmira Abdelhafeez Elkhatib,2025,https://link.springer.com/article/10.1038/s41598-025-21923-5,Article
Crime Analysis and Management System,SN Computer Science,,,,10.1007/s42979-025-04319-0,Kaushan DuttaShouvik ParuiSubhadra ShawSougata BiswasShirsak Das,2025,https://link.springer.com/article/10.1007/s42979-025-04319-0,Article
Fairness in recommender systems: research landscape and future directions,User Modeling and User-Adapted Interaction,,,,10.1007/s11257-023-09364-z,Yashar DeldjooDietmar JannachAlejandro BelloginAlessandro DifonzoDario Zanzonelli,2023,https://link.springer.com/article/10.1007/s11257-023-09364-z,Article
Manifestations of xenophobia in AI systems,AI & SOCIETY,,,,10.1007/s00146-024-01893-4,Nenad TomasevJonathan Leader MaynardIason Gabriel,2024,https://link.springer.com/article/10.1007/s00146-024-01893-4,Article
A review of ethical AI frameworks in product development: taking stock and moving forward,AI and Ethics,,,,10.1007/s43681-025-00952-w,Lilit WeckerJeppe Agger NielsenKamal NasrollahiThomas Ploug,2025,https://link.springer.com/article/10.1007/s43681-025-00952-w,Article
Enhancing fairness and scalability in IOTA tangle networks: a POMDP-based tip selection algorithm for decentralized systems,Cluster Computing,,,,10.1007/s10586-025-05432-8,Mays AlshaikhliSomaya Al-MaadeedMoutaz Saleh,2025,https://link.springer.com/article/10.1007/s10586-025-05432-8,Article
"Testing autonomous vehicles and AI: perspectives and challenges from cybersecurity, transparency, robustness and fairness",European Transport Research Review,,,,10.1186/s12544-025-00732-x,David Fernández LlorcaRonan HamonHenrik JunklewitzKathrin GrosseLars KunzePatrick SeinigerRobert SwaimNick ReedAlexandre AlahiEmilia GómezIgnacio SánchezAkos Kriston,2025,https://link.springer.com/article/10.1186/s12544-025-00732-x,Article
"Navigating fairness: practitioners’ understanding, challenges, and strategies in AI/ML development",Empirical Software Engineering,,,,10.1007/s10664-025-10650-0,Aastha PantRashina HodaChakkrit TantithamthavornBurak Turhan,2025,https://link.springer.com/article/10.1007/s10664-025-10650-0,Article
Negotiating AI fairness: a call for rebalancing power relations,AI & SOCIETY,,,,10.1007/s00146-025-02653-8,Marta GibinEmmanouil KrasanakisKęstutis Grumodas,2025,https://link.springer.com/article/10.1007/s00146-025-02653-8,Article
Toward a socially fair data equilibration approach for responsible federated learning,Knowledge and Information Systems,,,,10.1007/s10115-025-02590-4,Jaya PathakJagat Sesh ChallaAmitesh Singh Rajput,2025,https://link.springer.com/article/10.1007/s10115-025-02590-4,Article
Exploring needs and challenges for AI in nursing care – results of an explorative sequential mixed methods study,BMC Digital Health,,,,10.1186/s44247-023-00015-2,Kathrin SeibertDominik DomhoffDaniel FürstenauFelix BiessmannMatthias Schulte-AlthoffKarin Wolf-Ostermann,2023,https://link.springer.com/article/10.1186/s44247-023-00015-2,Article
Empowering secure and sustainable healthcare through federated learning and blockchain synergies in a Medical Internet of Things,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02698-7,Jing WangSarbajit MannaMuammer AksoyArindam SarkarMd Arafatur RahmanAbdulfattah NoorwaliKamal M. OthmanMohammed J. F. Alenazi,2025,https://link.springer.com/article/10.1007/s13042-025-02698-7,Article
Word vector embeddings hold social ontological relations capable of reflecting meaningful fairness assessments,AI & SOCIETY,,,,10.1007/s00146-021-01167-3,Ahmed Izzidien,2021,https://link.springer.com/article/10.1007/s00146-021-01167-3,Article
Abstracts,Wiener klinische Wochenschrift,,,,10.1007/s00508-025-02510-0,,2025,https://link.springer.com/article/10.1007/s00508-025-02510-0,Article
