source_database,source_file,metadata_format,title,authors,year,venue,doi,url
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,"Trustworthy artificial intelligence in Alzheimer’s disease: state of the art, opportunities, and challenges",Shaker El-SappaghJose M. Alonso-MoralTamer AbuhmedFarman AliAlberto Bugarín-Diz,2023,Artificial Intelligence Review,10.1007/s10462-023-10415-5,https://link.springer.com/article/10.1007/s10462-023-10415-5
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,Technical challenges and perception: does AI have a PR issue?,Marie Oldfield,2023,AI and Ethics,10.1007/s43681-023-00316-2,https://link.springer.com/article/10.1007/s43681-023-00316-2
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,A fairness scale for real-time recidivism forecasts using a national database of convicted offenders,Jacob VerreyPeter NeyroudLawrence ShermanBarak Ariel,2025,Neural Computing and Applications,10.1007/s00521-025-11478-x,https://link.springer.com/article/10.1007/s00521-025-11478-x
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,From Algorithms to Connectivity: A Comprehensive Review of Traffic Signal Optimization and Communication Based Cooperative Control,Viral PatelNilesh Maltare,2025,Archives of Computational Methods in Engineering,10.1007/s11831-025-10455-w,https://link.springer.com/article/10.1007/s11831-025-10455-w
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,Empowering secure and sustainable healthcare through federated learning and blockchain synergies in a Medical Internet of Things,Jing WangSarbajit MannaMuammer AksoyArindam SarkarMd Arafatur RahmanAbdulfattah NoorwaliKamal M. OthmanMohammed J. F. Alenazi,2025,International Journal of Machine Learning and Cybernetics,10.1007/s13042-025-02698-7,https://link.springer.com/article/10.1007/s13042-025-02698-7
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,<i>MinMax fairness</i>: from Rawlsian Theory of Justice to solution for algorithmic bias,Flavia BarsottiRüya Gökhan Koçer,2022,AI & SOCIETY,10.1007/s00146-022-01577-x,https://link.springer.com/article/10.1007/s00146-022-01577-x
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,Measuring and mitigating biases in motor insurance pricing,Mulah MoriahFranck VermetArthur Charpentier,2024,European Actuarial Journal,10.1007/s13385-024-00390-8,https://link.springer.com/article/10.1007/s13385-024-00390-8
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,Machine intelligence in non-invasive endocrine cancer diagnostics,Nicole M. ThomasianIhab R. KamelHarrison X. Bai,2021,Nature Reviews Endocrinology,10.1038/s41574-021-00543-9,https://link.springer.com/article/10.1038/s41574-021-00543-9
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Operational fairness diagnostics for AI-based detection systems: Metrics and methodology,Carlos Mario Braga and Manuel A. Serrano and Eduardo Fernández-Medina,2026,Knowledge-Based Systems,https://doi.org/10.1016/j.knosys.2026.116369,https://www.sciencedirect.com/science/article/pii/S0950705126010956
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Ethical limitations of algorithmic fairness solutions in health care machine learning,Melissa D McCradden and Shalmali Joshi and Mjaye Mazwi and James A Anderson,2020,The Lancet Digital Health,https://doi.org/10.1016/S2589-7500(20)30065-0,https://www.sciencedirect.com/science/article/pii/S2589750020300650
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,The Carbon Border Adjustment Mechanism from developing countries’ perspective: a systematic literature review on challenges and opportunities for the Mediterranean basin,Simona Sagone and Maurizio Cellura,2025,Energy Strategy Reviews,https://doi.org/10.1016/j.esr.2025.101884,https://www.sciencedirect.com/science/article/pii/S2211467X25002470
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Implementation of Machine Learning Applications in Health Care Organizations: Systematic Review of Empirical Studies,Luigi M Preti and Vittoria Ardito and Amelia Compagni and Francesco Petracca and Giulia Cappellaro,2024,Journal of Medical Internet Research,https://doi.org/10.2196/55897,https://www.sciencedirect.com/science/article/pii/S1438887124008537
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Fairness in machine learning with tractable models,Michael Varley and Vaishak Belle,2021,Knowledge-Based Systems,https://doi.org/10.1016/j.knosys.2020.106715,https://www.sciencedirect.com/science/article/pii/S0950705120308443
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Do residential time-of-use tariff policies gain customers’ favor? Insight from a social network-enhanced BERT-BiLSTM analysis,Shiwei Yu and Mengmeng Jin and Kerui Weng,2025,Energy Reports,https://doi.org/10.1016/j.egyr.2025.11.056,https://www.sciencedirect.com/science/article/pii/S2352484725006729
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Bridging BioSciences and technology: The impact of AI & GenAI in life sciences and agribusiness,Nicolau Brito {da Cunha} and Fabiano Cavalcanti Fernandes and Abel Gil-Ley and Octavio L. Franco and Naagma Timakondu and Fabricio F. Costa,2025,Gene,https://doi.org/10.1016/j.gene.2025.149623,https://www.sciencedirect.com/science/article/pii/S0378111925004123
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,"Machine Learning Applications in Population and Public Health: Guidelines for Development, Testing, and Implementation",Andrew D Pinto and Sharon Birdi and Steve Durant and Roxana Rabet and Rahul Parekh and Shehzad Ali and David Buckeridge and Marzyeh Ghassemi and Jennifer Gibson and Ava John-Baptiste and Jillian Macklin and Melissa D McCradden and Kwame McKenzie and Parisa Naraei and Akwasi Owusu-Bempah and Laura C Rosella and James Shaw and Ross Upshur and Sharmistha Mishra,2025,JMIR Public Health and Surveillance,https://doi.org/10.2196/68952,https://www.sciencedirect.com/science/article/pii/S2369296025001759
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,"Chapter 10 - Data-driven education: Leveraging big data, AI, and machine learning for smarter learning environments",Rituraj Jain and Kamal Upreti and Uma Shankar and G. Radhakrishnan and Ashish Sharma and Khushboo Malik,2026,Intelligent Systems for Neurocognition and Human-Robot-Computer Interaction,https://doi.org/10.1016/B978-0-443-41660-6.00003-X,https://www.sciencedirect.com/science/article/pii/B978044341660600003X
ScienceDirect,ScienceDirect/1. ScienceDirect_citations.bib,BibTeX,Machine learning guidelines for designing next-generation nanocomposite membranes for CO2 capture,Doaa Sallam and Basamat S. Shaheen and Nageh K. Allam,2025,Green Chemistry,https://doi.org/10.1039/d5gc05552k,https://www.sciencedirect.com/science/article/pii/S1463926225011574
