record_id,source_database,source_file,source_record_key,search_run_id,metadata_format,bibtex_entry_type,title,authors,year,venue,doi,url,abstract,raw_identifier,normalized_title,normalized_doi,record_hash,duplicate_status,duplicate_of,dedup_key_type
SRCREC-0011,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3705328,1,BibTeX,proceedings,RecSys '25: Proceedings of the Nineteenth ACM Conference on Recommender Systems,,2025,Association for Computing Machinery,,,,10.1145/3705328,recsys 25 proceedings of the nineteenth acm conference on recommender systems,,fb10cb8b89774235,unique,,title
SRCREC-0012,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3640457.3688169,1,BibTeX,inproceedings,Promoting Two-sided Fairness with Adaptive Weights for Providers and Customers in Recommendation,"Xu, Lanling and Lin, Zihan and Wang, Jinpeng and Chen, Sheng and Zhao, Wayne Xin and Wen, Ji-Rong",2024,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3688169,https://doi.org/10.1145/3640457.3688169,"At present, most recommender systems involve two stakeholders, providers and customers. Apart from maximizing the recommendation accuracy, the fairness issue for both sides should also be considered. Most of previous studies try to improve two-sided fairness with post-processing algorithms or fairness-aware loss constraints, which are highly dependent on the heuristic adjustments without respect to the optimization goal of accuracy. In contrast, we propose a novel training framework, adaptive weighting towards two-sided fairness-aware recommendation&nbsp;(named Ada2Fair), which lies in the extension of the accuracy-focused objective to a controllable preference learning loss over the interaction data. Specifically, we adjust the optimization scale of an interaction sample with an adaptive weight generator, and estimate the two-sided fairness-aware weights within model training. During the training process, the recommender is trained with two-sided fairness-aware weights to boost the utility of niche providers and inactive customers in a unified way. Extensive experiments on three public datasets verify the effectiveness of&nbsp;Ada2Fair, which can achieve Pareto efficiency in two-sided fairness-aware recommendation.",10.1145/3640457.3688169,promoting two sided fairness with adaptive weights for providers and customers in recommendation,10114536404573688169,ef2966ccd32aab2e,unique,,doi
SRCREC-0013,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3626772,1,BibTeX,proceedings,SIGIR '24: Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,,2024,Association for Computing Machinery,,,"Welcome to the 47th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2024), taking place in Washington D.C., USA, from July 14 to 18, 2024.SIGIR serves as the foremost international forum for the presentation of groundbreaking research findings, the demonstration of innovative systems and techniques, and the exploration of forwardthinking research directions in the field of information retrieval.This year's SIGIR is an in-person conference. We believe that an in-person conference is beneficial for several reasons: it fosters direct engagement and networking opportunities, enhances the exchange of research ideas, contributes to a more dynamic and productive conference experience, and nurtures our research community by welcoming newcomers, providing them with the opportunity to become acquainted with SIGIR traditions. This decision has not been made lightly. We understand the challenges that can pose in the aftermath of a pandemic and amidst the uncertainties of the world around us. To accommodate those who cannot attend, we have implemented a series of measures such as proxy presenters, livestreaming, and recording sessions. These steps are taken to ensure that everyone has access to the valuable content that the conference offers.",10.1145/3626772,sigir 24 proceedings of the 47th international acm sigir conference on research and development in information retrieval,,2ca33c1bcb5c8d07,unique,,title
SRCREC-0014,ACM Digital Library,ACM Digital Library/1. acm.bib,10.14778/3583140.3583168,1,BibTeX,article,PreFair: Privately Generating Justifiably Fair Synthetic Data,"Pujol, David and Gilad, Amir and Machanavajjhala, Ashwin",2023,Proc. VLDB Endow.,10.14778/3583140.3583168,https://doi.org/10.14778/3583140.3583168,"When a database is protected by Differential Privacy (DP), its usability is limited in scope. In this scenario, generating a synthetic version of the data that mimics the properties of the private data allows users to perform any operation on the synthetic data, while maintaining the privacy of the original data. Therefore, multiple works have been devoted to devising systems for DP synthetic data generation. However, such systems may preserve or even magnify properties of the data that make it unfair, rendering the synthetic data unfit for use. In this work, we present PreFair, a system that allows for DP fair synthetic data generation. PreFair extends the state-of-the-art DP data generation mechanisms by incorporating a causal fairness criterion that ensures fair synthetic data. We adapt the notion of justifiable fairness to fit the synthetic data generation scenario. We further study the problem of generating DP fair synthetic data, showing its intractability and designing algorithms that are optimal under certain assumptions. We also provide an extensive experimental evaluation, showing that PreFair generates synthetic data that is significantly fairer than the data generated by leading DP data generation mechanisms, while remaining faithful to the private data.",10.14778/3583140.3583168,prefair privately generating justifiably fair synthetic data,101477835831403583168,32dad5ca013cf5cd,unique,,doi
SRCREC-0015,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3035918.3064018,1,BibTeX,inproceedings,ROBUS: Fair Cache Allocation for Data-parallel Workloads,"Kunjir, Mayuresh and Fain, Brandon and Munagala, Kamesh and Babu, Shivnath",2017,Proceedings of the 2017 ACM International Conference on Management of Data,10.1145/3035918.3064018,https://doi.org/10.1145/3035918.3064018,"Systems for processing big data---e.g., Hadoop, Spark, and massively parallel databases---need to run workloads on behalf of multiple tenants simultaneously. The abundant disk-based storage in these systems is usually complemented by a smaller, but much faster, cache. Cache is a precious resource: Tenants who get to use the cache can see two orders of magnitude performance improvement. Cache is also a limited and hence shared resource: Unlike a resource like a CPU core which can be used by only one tenant at a time, a cached data item can be accessed by multiple tenants at the same time. Cache, therefore, has to be shared by a multi-tenancy-aware policy across tenants, each having a unique set of priorities and workload characteristics.In this paper, we develop cache allocation strategies that speed up the overall workload while being fair to each tenant. We build a novel fairness model targeted at the shared resource setting that incorporates not only the more standard concepts of Pareto-efficiency and sharing incentive, but we also define envy freeness via the notion of core from cooperative game theory. Our cache management platform, ROBUS, uses randomization over small time batches, and we develop a proportionally fair allocation mechanism that satisfies the core property in expectation. We show that this algorithm and related fair algorithms can be approximated to arbitrary precision in polynomial time. We evaluate these algorithms on a ROBUS prototype implemented on Spark with RDD store used as cache. Our evaluation on an industry-standard workload shows that our algorithms score high on both performance and fairness metrics across a wide variety of practical multi-tenant setups.",10.1145/3035918.3064018,robus fair cache allocation for data parallel workloads,10114530359183064018,952cb804465709b9,unique,,doi
SRCREC-0016,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3593013.3593984,10,BibTeX,inproceedings,Preventing Discriminatory Decision-making in Evolving Data Streams,"Wang, Zichong and Saxena, Nripsuta and Yu, Tongjia and Karki, Sneha and Zetty, Tyler and Haque, Israat and Zhou, Shan and Kc, Dukka and Stockwell, Ian and Wang, Xuyu and Bifet, Albert and Zhang, Wenbin",2023,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3593013.3593984,https://doi.org/10.1145/3593013.3593984,"Bias in machine learning has rightly received significant attention over the past decade. However, most fair machine learning (fair-ML) works to address bias in decision-making systems has focused solely on the offline setting. Despite the wide prevalence of online systems in the real world, work on identifying and correcting bias in the online setting is severely lacking. The unique challenges of the online environment make addressing bias more difficult than in the offline setting. First, Streaming Machine Learning (SML) algorithms must deal with the constantly evolving real-time data stream. Secondly, they need to adapt to changing data distributions (concept drift) to make accurate predictions on new incoming data. Incorporating fairness constraints into this already intricate task is not straightforward. In this work, we focus on the challenges of achieving fairness in biased data streams while accounting for the presence of concept drift, accessing one sample at a time. We present Fair Sampling over Stream (FS2), a novel fair rebalancing approach capable of being integrated with SML classification algorithms. Furthermore, we devise the first unified performance-fairness metric, Fairness Bonded Utility (FBU), to efficiently evaluate and compare the trade-offs between performance and fairness across various bias mitigation methods. FBU simplifies the comparison of fairness-performance trade-offs of multiple techniques through one unified and intuitive evaluation, allowing model designers to easily choose a technique. Overall, extensive evaluations show our measures surpass those of other fair online techniques previously reported in the literature.",10.1145/3593013.3593984,preventing discriminatory decision making in evolving data streams,10114535930133593984,791060c3fba483bb,unique,,doi
SRCREC-0017,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3760535.3760541,10,BibTeX,article,Uncovering the Hidden Biases in Personal Informatics,"Yfantidou, Sofia and Sermpezis, Pavlos and Vakali, Athena and Baeza-Yates, Ricardo",2025,GetMobile: Mobile Comp. and Comm.,10.1145/3760535.3760541,https://doi.org/10.1145/3760535.3760541,"Personal Informatics (PI) systems, such as apps and wearables that help users track physical activity, sleep, heart rate, or stress, have become critical tools for self-monitoring and health research. As these systems increasingly drive personal and clinical decisionmaking, it's vital to understand how equitable and representative they really are. Real-world harms have already surfaced in adjacent domains: health sensors like pulse oximeters underperform on darker skin tones [1], and female speakers and non-US nationalities experience significant performance degradation in automated speaker recognition [2]. These failures aren't just technical - they're structural, human-centric, and societal. Yet, despite their growing influence, PI systems remain critically under-researched from a fairness and equity perspective [3]. Our research, detailed in [4], investigates this question by examining when, how, and for whom bias arises in the lifecycle of PI systems.",10.1145/3760535.3760541,uncovering the hidden biases in personal informatics,10114537605353760541,68e29ae8710e0b71,unique,,doi
SRCREC-0018,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3769102.3774631,10,BibTeX,inproceedings,Toward Design of a Scalable Federated Unlearning Framework for Trustworthy Edge Intelligence,"Adarbah, Haitham Y. and Sha, Kewei and Noore, Afzel",2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,10.1145/3769102.3774631,https://doi.org/10.1145/3769102.3774631,"Federated learning (FL) enables collaborative model training across edge devices without centralizing raw data, but existing frameworks remain ill-equipped to support data privacy regulations mandated by GDPR, HIPAA, and CCPA. Once user data has influenced training, its verifiable removal becomes prohibitively expensive, particularly in non-IID and resource-constrained edge environments. This paper introduces a modular and scalable federated unlearning framework that unifies three complementary strategies: gradient subtraction, knowledge distillation, and checkpoint rollback, within an adaptive decision layer. A resource-aware checkpoint manager reduces storage costs through compression and pruning, while a privacy and trust layer integrates zero-knowledge proofs, differential privacy, and Merkle-based audit logs to provide verifiable guarantees of deletion. A non-IID-aware aggregator further preserves fairness across heterogeneous clients. Unlike prior approaches, our proposed framework systematically integrates rollback efficiency with formal privacy protections and auditability, offering a practical path toward trustworthy and regulation-compliant unlearning in domains such as healthcare, transportation, and smart agriculture.",10.1145/3769102.3774631,toward design of a scalable federated unlearning framework for trustworthy edge intelligence,10114537691023774631,63bb4c240d6876d4,unique,,doi
SRCREC-0019,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3664647.3681545,10,BibTeX,inproceedings,FedEvalFair: A Privacy-Preserving and Statistically Grounded Federated Fairness Evaluation Framework,"Wang, Zhongchi and Sun, Hailong and Zhao, Zhengyang",2024,Proceedings of the 32nd ACM International Conference on Multimedia,10.1145/3664647.3681545,https://doi.org/10.1145/3664647.3681545,"Federated learning has rapidly gained attention in the industrial sector due to its significant advantages in protecting privacy. However, ensuring the fairness of federated learning models post-deployment presents a challenge in practical applications. Given that clients typically rely on limited private datasets to assess model fairness, this constrains their ability to make accurate judgments about the fairness of the model. To address this issue, we propose an innovative evaluation framework, FedEvalFair, which integrates private data from multiple clients to comprehensively assess the fairness of models in actual deployment without compromising data privacy. Firstly, FedEvalFair draws on the concept of federated learning to achieve a comprehensive assessment while protecting privacy. Secondly, based on the statistical concept of ""estimating the population from the sample"", FedEvalFair is capable of estimating the fairness performance of the model in real-world settings from a limited data sample. Thirdly, we have designed a flexible two-stage evaluation strategy based on statistical hypothesis testing. We verified the theoretical performance and sensitivity to fairness variations of FedEvalFair using Monte Carlo simulations, demonstrating the superior performance of its two-stage evaluation strategy. Additionally, we validated the effectiveness of the FedEvalFair method on real-world datasets, including UCI Adult and eICU, and demonstrated its stability in dealing with real-world data distribution changes compared to traditional evaluation methods.",10.1145/3664647.3681545,fedevalfair a privacy preserving and statistically grounded federated fairness evaluation framework,10114536646473681545,acde25c4349d5e10,unique,,doi
SRCREC-0020,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3514094.3534157,10,BibTeX,inproceedings,FairCanary: Rapid Continuous Explainable Fairness,"Ghosh, Avijit and Shanbhag, Aalok and Wilson, Christo",2022,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3514094.3534157,https://doi.org/10.1145/3514094.3534157,"Systems that offer continuous model monitoring have emerged in response to (1) well-documented failures of deployed Machine Learning (ML) and Artificial Intelligence (AI) models and (2) new regulatory requirements impacting these models. Existing monitoring systems continuously track the performance of deployed ML models and compute feature importance (a.k.a. explanations) for each prediction to help developers identify the root causes of emergent model performance problems.We present Quantile Demographic Drift (QDD), a novel model bias quantification metric that uses quantile binning to measure differences in the overall prediction distributions over subgroups. QDD is ideal for continuous monitoring scenarios, does not suffer from the statistical limitations of conventional threshold-based bias metrics, and does not require outcome labels (which may not be available at runtime). We incorporate QDD into a continuous model monitoring system, called FairCanary, that reuses existing explanations computed for each individual prediction to quickly compute explanations for the QDD bias metrics. This optimization makes FairCanary an order of magnitude faster than previous work that has tried to generate feature-level bias explanations.",10.1145/3514094.3534157,faircanary rapid continuous explainable fairness,10114535140943534157,4b7fc0c1efb62110,unique,,doi
